company,country,economic_sector,sub_industry,pollution,Total assets,Dividend,ROA,ROE,Direct emissions,Indirect emissions,quartile
ACCENTURE PLC,Ireland,Technology,IT Consulting & Other Services,non polluter,16992039,44.66,18.14,51.47,26290,237239,Medium
AIRBUS SE,Netherlands,Industrials,Aerospace & Defense,polluter,99922000,37.88,3.3,41.39,525883,401734,Huge
AKZO NOBEL N.V.,Netherlands,Basic Materials,Speciality Chemicals,polluter,14906000,39.24,7.19,15.95,1500000,2300000,Large
ALSTOM SA,France,Industrials,Construction Machinery & Heavy Transportation Equipment,polluter,32501000,0.0,-1.72,-15.67,54000,70000,Large
AP MOELLER MAERSK,Denmark,Industrials,Marine Transportation,polluter,422739287,,1.62,2.15,33044000,415000,Huge
ARCELORMITTAL SA,Luxembourg,Basic Materials,Steel,polluter,64673541,0.0,-8.49,-26.24,176000000,16000000,Huge
BASF SE,Germany,Basic Materials,Diversified Chemicals,polluter,69045000,66.81,6.32,13.62,18375000,3795000,Huge
CAPGEMINI SE,France,Technology,IT Consulting & Other Services,non polluter,14819000,20.23,9.48,18.82,9621,230527,Medium
CARGOTEC CORP,Finland,Industrials,Industrial Machinery & Supplies & Components,polluter,3387200,36.2,4.63,11.22,8900,25500,Small
CORBION NV,Netherlands,Basic Materials,Speciality Chemicals,polluter,792100,65.82,10.85,15.65,91000,88000,Small
CRH PLC,Ireland,Basic Materials,Construction Materials,polluter,31858000,70.12,3.57,6.24,19700000,2100000,Large
DAMPSKIBS NORDEN AS,Denmark,Industrials,Marine Transportation,polluter,11027237,0.0,-16.71,-29.89,454300,500,Large
DASSAULT SYSTEMES,France,Technology,Application Software,polluter,6196146,29.51,7.35,12.54,4790,11810,Small
DEUTSCHE POST AG,Germany,Industrials,Air Freight & Logistics,polluter,35863000,66.82,4.68,15.09,5600000,450000,Huge
EATON CORP PLC,Ireland,Industrials,Electrical Components & Equipment,polluter,30669000,51.93,7.14,12.78,182840,909629,Large
ENI GROUP,Italy,Energy,Integrated Oil & Gas,polluter,130443000,,-5.52,-15.75,42320000,620000,Huge
EXPERIAN PLC,Ireland,Industrials,Research & Consulting Services,non polluter,5206275,45.98,10.21,25.75,4800,40900,Small
FERROVIAL SA,Spain,Industrials,Construction & Engineering,polluter,24130000,72.1,5.14,12.28,495305,87871,Huge
FLSMIDTH & CO A/S,Denmark,Basic Materials,Construction Machinery & Heavy Transportation Equipment,polluter,23266000,46.55,2.01,5.37,13460,33450,Large
FOMENTO CONSTRUCCION,Spain,Industrials,Construction & Engineering,polluter,11830315,0.0,2.69,-19.24,8440377,681871,Large
FRAPORT AG,Germany,Industrials,Airport Services,non polluter,8813900,45.06,4.31,8.31,39600,206600,Medium
HAMBURGER HAFEN,Germany,Industrials,Marine Ports & Services,non polluter,1688968,64.38,4.79,12.49,74000,119000,Small
HEIDELBERGCEMENT AG,Germany,Basic Materials,Construction Materials,polluter,27569400,30.53,4.23,5.7,47200000,5900000,Huge
HELLEN PETR HOLD,Greece,Energy,Oil & Gas Refining & Marketing,polluter,7789045,0.0,3.36,3.07,3318920,893758,Medium
HOCHTIEF,Germany,Industrials,Construction & Engineering,polluter,13099401,64.29,2.85,9.64,3100060,201874,Large
IMERYS,France,Basic Materials,Construction Materials,polluter,6064300,,1.76,2.69,1725000,1056000,Small
INDRA SISTEMAS SA,Spain,Technology,IT Consulting & Other Services,non polluter,2864282,0.0,-19.28,-103.84,958,23587,Small
JOHNSON CONTROLS INT,Ireland,Industrials,Building Products,polluter,12321000,80.41,5.12,12.68,860485,1487110,Large
KONE CORPORATION,Finland,Industrials,Industrial Machinery & Supplies & Components,polluter,7205900,69.68,15.59,45.42,102700,39800,Small
KONECRANES ABP,Finland,Industrials,Industrial Machinery & Supplies & Components,polluter,1413200,,2.63,6.81,45500,17200,Small
KONINKLIJKE BAM GRP,Netherlands,Industrials,Construction & Engineering,polluter,4600534,53.23,0.58,1.18,197000,15000,Medium
KONINKLIJKE VOPAK NV,Netherlands,Energy,Oil & Gas Storage & Transportation,polluter,5483300,45.22,6.53,14.98,189320,260010,Small
L'AIR LIQUIDE,France,Basic Materials,Industrial Gases,polluter,28706200,50.75,6.99,14.67,13552000,11716000,Large
LANXESS AG,Germany,Basic Materials,Diversified Chemicals,polluter,6858000,33.28,3.0,7.38,1643000,2998000,Medium
